epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2627.17,1.03284,0.55844,1.10028,0.92834,0.91751,0.97509,0.66561,1.06632,0.54456,1.11551,0.000416,0.000416,0.000416
82,2659.44,1.02313,0.55329,1.11152,0.94492,0.90342,0.97443,0.67919,1.03554,0.52886,1.09168,0.0003962,0.0003962,0.0003962
83,2692.65,1.03016,0.54842,1.10304,0.93547,0.92354,0.97218,0.65713,1.10083,0.55146,1.1211,0.0003764,0.0003764,0.0003764
84,2725.12,0.99167,0.53521,1.07326,0.92835,0.91348,0.97146,0.6787,1.0377,0.53522,1.09392,0.0003566,0.0003566,0.0003566
85,2757.54,1.01319,0.57151,1.11298,0.91983,0.9234,0.97509,0.67752,1.03551,0.52975,1.09373,0.0003368,0.0003368,0.0003368
86,2790.23,0.97728,0.56715,1.06326,0.94125,0.90262,0.96951,0.6844,1.01122,0.5398,1.08665,0.000317,0.000317,0.000317
87,2823.14,1.01397,0.60804,1.10887,0.94275,0.91549,0.97442,0.67953,1.0538,0.51811,1.10385,0.0002972,0.0002972,0.0002972
88,2855.46,0.99498,0.53267,1.08213,0.92801,0.92153,0.9724,0.66604,1.06206,0.52916,1.10356,0.0002774,0.0002774,0.0002774
89,2888.26,1.01163,0.59605,1.09169,0.90218,0.9497,0.9749,0.68879,1.01925,0.50493,1.07986,0.0002576,0.0002576,0.0002576
90,2921.27,0.97997,0.52461,1.07989,0.90603,0.95063,0.97549,0.68251,1.0248,0.5105,1.08691,0.0002378,0.0002378,0.0002378
91,2954.37,0.94845,0.51058,1.09598,0.93223,0.94165,0.97973,0.68518,1.04201,0.51531,1.09146,0.000218,0.000218,0.000218
92,2983.27,0.95702,0.50761,1.11917,0.93332,0.92941,0.97502,0.69188,1.02975,0.51155,1.09254,0.0001982,0.0001982,0.0001982
93,3012.5,0.9386,0.49928,1.10451,0.91325,0.95316,0.97109,0.69058,1.00843,0.50782,1.08283,0.0001784,0.0001784,0.0001784
94,3040.91,0.91798,0.48585,1.09409,0.94589,0.91448,0.97507,0.68392,1.03323,0.51498,1.08607,0.0001586,0.0001586,0.0001586
95,3070.22,0.92571,0.49036,1.09694,0.92456,0.937,0.97332,0.68528,1.02496,0.51026,1.08747,0.0001388,0.0001388,0.0001388
96,3099.06,0.91165,0.48313,1.0819,0.93323,0.93159,0.97751,0.6875,1.03204,0.51567,1.08792,0.000119,0.000119,0.000119
97,3128.15,0.91572,0.48904,1.09498,0.90703,0.95573,0.97656,0.69208,1.02258,0.50615,1.07957,9.92e-05,9.92e-05,9.92e-05
98,3156.51,0.91901,0.48358,1.09697,0.93419,0.94256,0.97885,0.70007,1.00047,0.50215,1.07765,7.94e-05,7.94e-05,7.94e-05
99,3184.69,0.92695,0.48051,1.08843,0.93807,0.91952,0.97672,0.69429,1.00524,0.50663,1.07913,5.96e-05,5.96e-05,5.96e-05
100,3213.59,0.92089,0.51527,1.08414,0.91699,0.94366,0.97148,0.6955,1.00187,0.50312,1.0753,3.98e-05,3.98e-05,3.98e-05
